write_info	1.0
write_demog	1.0
write_epi	1.0
write_final	1.0
Nsets	5.0
Nreps	10.0
dur_p	0.25
Dmax	25.4
D50	3058.0
Dk	0.41
dur_d	0.75
beta_p	2.76
betamax	0.317
beta50	13938.0
betak	1.02
beta_d	0.76
rho	3.46
lifeExpectancy	50.0
dt	0.01
start_time	-5.0
report_from	-2.0
report_every	0.1
end_time	20.0
set	1
pop_size	1000.0
sigma_e	0.5
sigma_m	0.3
start_mu	4.5
contact_rate	0.5
proportionCore	0.2
nonCore_rateMultiplier	0.3
assortativity	0.8
rep	1
t	n_Uninfected_nonCore	n_Uninfected_Core	n_Infected_nonCore	n_Infected_Core	newInfections	ViralLoad_mean
7.6	803	202	2	0	0	4.82243258745
7.7	803	203	2	0	0	4.82243258745
7.8	805	204	2	0	0	4.82243258745
7.9	805	204	1	0	0	4.80530998752
8.0	805	204	1	0	0	4.80530998752
8.1	805	205	1	0	0	4.80530998752
8.2	804	205	1	0	0	4.80530998752
8.3	802	204	1	0	0	4.80530998752
8.4	802	205	1	0	0	4.80530998752
8.5	801	207	1	0	0	4.80530998752
8.6	804	207	1	0	0	4.80530998752
8.7	806	207	1	0	0	4.80530998752
8.8	805	207	1	0	0	4.80530998752
8.9	804	207	1	0	0	4.80530998752
9.0	803	207	1	0	0	4.80530998752
9.1	804	207	1	0	0	4.80530998752
9.2	805	206	1	0	0	4.80530998752
9.3	807	207	1	0	0	4.80530998752
9.4	807	207	1	0	0	4.80530998752
9.5	806	207	1	0	0	4.80530998752
9.6	808	207	1	0	0	4.80530998752
9.7	808	207	1	0	0	4.80530998752
9.8	806	208	1	0	0	4.80530998752
9.9	808	208	1	0	0	4.80530998752
10.0	808	209	1	0	0	4.80530998752
10.1	808	209	1	0	0	4.80530998752
10.2	808	208	1	0	0	4.80530998752
10.3	804	208	1	0	0	4.80530998752
10.4	804	207	1	0	0	4.80530998752
10.5	803	205	1	0	0	4.80530998752
10.6	804	206	1	0	0	4.80530998752
10.7	808	208	1	0	0	4.80530998752
10.8	807	206	1	0	0	4.80530998752
10.9	807	206	1	0	0	4.80530998752
11.0	804	206	1	0	0	4.80530998752
11.1	802	206	1	0	0	4.80530998752
11.2	804	205	1	0	0	4.80530998752
rep	6
t	n_Uninfected_nonCore	n_Uninfected_Core	n_Infected_nonCore	n_Infected_Core	newInfections	ViralLoad_mean
-2.0	807	198	0	0	0	0
-1.9	809	198	0	0	0	0
-1.8	813	199	0	0	0	0
-1.7	813	198	0	0	0	0
-1.6	813	198	0	0	0	0
-1.5	813	197	0	0	0	0
-1.4	814	198	0	0	0	0
-1.3	814	196	0	0	0	0
-1.2	813	198	0	0	0	0
-1.1	814	198	0	0	0	0
-1.0	813	197	0	0	0	0
-0.9	813	197	0	0	0	0
-0.8	813	197	0	0	0	0
-0.7	816	197	0	0	0	0
-0.6	819	197	0	0	0	0
-0.5	818	197	0	0	0	0
-0.4	819	196	0	0	0	0
-0.3	821	197	0	0	0	0
-0.2	819	196	0	0	0	0
-0.1	816	196	0	0	0	0
-6.23077978101e-14	817	196	1	0	0	4.28485598168
0.0999999999999	816	195	1	0	0	4.28485598168
0.2	817	195	1	0	0	4.28485598168
0.3	817	195	1	0	0	4.28485598168
0.4	815	196	1	0	0	4.28485598168
0.5	817	196	1	0	0	4.28485598168
